video_id,comment_id,text,author,likes,time,reply_count,cleaned_comment
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9Milxol068Q,Jai Vidharba,@prathamesh7659,7,4 years ago,True,jai vidharba
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9PzAoDAJ4tK,"Jai andhra
Jai south india",@kohlikohli4912,1,4 years ago,True,jai andhra jai south india
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9PzChNkUe4a, @prathamesh7659  Nagpur ki public ?,@akatechAi,0,4 years ago,True,nagpur ki public
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9PzDwAzNbU1, @akatechAi  Yess,@prathamesh7659,0,4 years ago,True,yess
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9SNajFRXalp,"If Haldiram company is using HALAL Certificate; I will not buy your products.
Boycott Halal certified Haldiram..",@AgniveshArya,1,3 years ago,True,haldiram company using halal certificate buy products boycott halal certified haldiram
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9WRSDtQP5Nz,"Haldiram original Bikaner se aaya bro
Lekin PTA nhi kyu Nagpur mei headquarter bna diya",@Kk-rc5dl,0,3 years ago,True,haldiram original bikaner se aaya bro lekin pta nhi kyu nagpur mei headquarter bna diya
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9i7CJSLb7Vc, @Kk-rc5dl  kyu ki gangabishan Aggrawal nagpur me hi pale badhe,@akatechAi,0,2 years ago (edited),True,kyu ki gangabishan aggrawal nagpur hi pale badhe
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9sNJ_zsuY0J,Uski bhi ek vazah hai par nagpur se hi uska naam huwa itna bada bhoht bada yogdan hai nagpur ka usmai isliye nagpur hi headquarters sahi mayne mai hai haldiram ka,@dineshsonune1328,0,2 years ago,True,uski bhi ek vazah hai par nagpur se hi uska naam huwa itna bada bhoht bada yogdan hai nagpur ka usmai isliye nagpur hi headquarters sahi mayne mai hai haldiram ka
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIW9sNNHwe5eem, @AgniveshArya  yes bro boycott halal but haldiram not have halal,@akatechAi,0,2 years ago (edited),True,yes bro boycott halal haldiram halal
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIWA8fJ-nwytaa,Haldiram company me pikup kaise attach kar sakte h,@InnocentViju82,0,10 months ago,True,haldiram company pikup kaise attach kar sakte h
SH9Mz-Ssd7A,UgxcDMM8khxdVYrtvv54AaABAg.9HyHFc-PUIWA8pEUTUqSUK,allu arjun madda gudu,@charannyadav9462,0,10 months ago,True,allu arjun madda gudu
SH9Mz-Ssd7A,Ugz0GrdVfv3plxCFR814AaABAg.9HUZR8DKsyH9O-W3sOQRcF,Mental,@rv6569,0,4 years ago,True,mental
SH9Mz-Ssd7A,UgxiDSxUpgxY1nFdKl94AaABAg,Ye sab kuch nhi sale kuch bhi dikhate hain koi sanitizer nhi na kuch nhi bc kuch bhi paisa feko tmasha dekho,@Pranay3589,0,4 years ago,False,ye sab kuch nhi sale kuch bhi dikhate hain koi sanitizer nhi na kuch nhi bc kuch bhi paisa feko tmasha dekho
SH9Mz-Ssd7A,UgxzNK52JKOjcH57woF4AaABAg,"Name.roshan Yadav
Nagpur job hai kya",@RoshanYadav-le5ll,0,4 years ago,False,nameroshan yadav nagpur job hai kya
